perl-libwww 6.82-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.02-16
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.6.3-1
polkit-qt6 0.200.0-2
popt 1.19-2
portaudio 1:19.7.0-4
postgis 3.6.2-1
postgresql 18.3-2
postgresql-libs 18.3-2
postman-bin 12.2.1-1
power-profiles-daemon 0.30-1
pps-tools 1.0.3-2
procps-ng 4.0.6-1
proj 9.8.0-1
protobuf 34.1-1
protobuf-c 1.5.2-9
psmisc 23.7-1
pugixml 1.15-3
python 3.14.3-1
python-annotated-types 0.7.0-3
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-build 1.4.2-1
python-cairo 1.29.0-2
python-cffi 2.0.0-2
python-cryptography 46.0.6-1
python-dbus 1.4.0-2
python-docopt 0.6.2-15
python-entrypoints 0.4-7
python-fastjsonschema 2.21.2-2
python-filelock 3.25.2-1
python-flake8 1:7.3.0-2
python-gobject 3.54.5-2
python-i3ipc 2.2.1-9
python-imageio 2.37.3-1
python-imageio-ffmpeg 0.6.0-2
python-inflect 7.5.0-2
python-installer 0.7.0-14
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-keyutils 0.6-12
python-lark-parser 1.3.1-2
python-mako 1.3.10-4
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-mccabe 0.7.0-9
python-more-itertools 10.8.0-2
python-numpy 2.4.4-1
python-packaging 26.0-1
python-pillow 12.1.1-1
python-pip 26.0.1-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.4-1
python-poetry-core 2.3.1-1
python-pycodestyle 2.14.0-2
python-pycparser 3.00-1
python-pydantic 2.12.5-4
python-pydantic-core 3:2.41.5-4
python-pyflakes 3.4.0-2
python-pyproject-hooks 1.2.0-6
